20161101_1813,61,-3776,-3264,-512,ln3g1nl/2G3s2/p+r1pkpppp/4p4/9/P8/4PPPPP/4G1K2/L4GSNL b PS4pns2br 61,ln3g1nl/2G3s2/p+r1pkpppp/4p4/9/P8/4PPPPP/4G1K2/L4GSNL b PS4pns2br 61,S*6b,**候補手  候補1 時間 00:00.9 深さ 10/23 ノード数 1010800 評価値 -3264 読み筋 ▲８一金(72) △同　龍(83) ▲２二銀打 △６五角打 ▲１一銀成(22) △７九飛打 ▲５六桂打 △３五桂打 ▲２一成銀(11) △同　銀(32) ▲４五桂打 △４二玉(53) ▲４六香打 △３二銀打
20161101_1813,65,-4360,-4011,-349,ln1G1g1nl/3Ssks2/p+r1p1pppp/4p4/9/P8/4PPPPP/4G1K2/L4GSNL b P4pn2br 65,ln1G1g1nl/3Ssks2/p+r1p1pppp/4p4/9/P8/4PPPPP/4G1K2/L4GSNL b P4pn2br 65,6a7a,**候補手  候補1 時間 00:00.8 深さ 11/17 ノード数 1010882 評価値 -4011 読み筋 ▲６九歩打 △４四角打 ▲６八歩(69) △９九角成(44)
20161101_1813,67,-4744,-4253,-491,lnG2g1nl/3Ssks2/p+r1p1pppp/4pb3/9/P8/4PPPPP/4G1K2/L4GSNL b P4pnbr 67,lnG2g1nl/3Ssks2/p+r1p1pppp/4pb3/9/P8/4PPPPP/4G1K2/L4GSNL b P4pnbr 67,6b6a+,**候補手  候補1 時間 00:00.8 深さ 12/21 ノード数 1008557 評価値 -4253 読み筋 ▲６一金(71) △６九飛打 ▲９七香(99) △８二龍(83) ▲５九金(58) △６五飛成(69) ▲５一銀(62) △同　金(41) ▲同　金(61) △同　玉(42) ▲２二金打 △４一金打 ▲１一金(22) △４二玉(51) ▲４六香打
20161101_1813,71,-4660,-4030,-630,ln1G1g1nl/5ks2/p+r1p1pppp/4p4/9/P8/4PPPPP/4G1K2/+b4GSNL b PS4plnsbr 71,ln1G1g1nl/5ks2/p+r1p1pppp/4p4/9/P8/4PPPPP/4G1K2/+b4GSNL b PS4plnsbr 71,3h2h,**候補手  候補1 時間 00:01.4 深さ 7/20 ノード数 1005909 評価値 -4030 読み筋 ▲６二金(61) △７九飛打 ▲８四歩打 △７三龍(83) ▲５二銀打 △６二龍(73) ▲４一銀成(52) △同　銀(32)
20161101_1813,75,-4401,-4004,-397,ln1G1g1nl/5ks2/p2p1pppp/4p4/9/P8/4PPPPP/1+r2G1SK1/1+b3G1NL b PS4plnsbr 75,ln1G1g1nl/5ks2/p2p1pppp/4p4/9/P8/4PPPPP/1+r2G1SK1/1+b3G1NL b PS4plnsbr 75,1g1f,**候補手  候補1 時間 00:00.9 深さ 11/18 ノード数 1008527 評価値 -4004 読み筋 ▲６二金(61) △６九飛打 ▲６八歩打 △５三玉(42) ▲２二銀打 △６四角打 ▲４六歩(47) △同　角(64) ▲４七金(58) △６四角(46) ▲１一銀成(22) △６二玉(53) ▲２一成銀(11) △同　銀(32)
20161101_1813,77,-4386,-4077,-309,ln1G1g1nl/5ks2/p2p1pppp/4p1+b2/9/P7P/4PPPP1/1+r2G1SK1/5G1NL b PS4plnsbr 77,ln1G1g1nl/5ks2/p2p1pppp/4p1+b2/9/P7P/4PPPP1/1+r2G1SK1/5G1NL b PS4plnsbr 77,6a6b,**候補手  候補1 時間 00:00.9 深さ 10/22 ノード数 1003130 評価値 -4077 読み筋 ▲２二銀打 △５五角打 ▲４六歩(47) △同　角(55) ▲４七金(58) △６四角(46) ▲１一銀成(22) △４四香打 ▲４六歩打 △３五桂打 ▲３六金(47) △４六香(44) ▲同　金(36) △同　角(64) ▲４八香打 △５七角成(46) ▲２一成銀(11) △４八馬(57) ▲同　金(49) △同　龍(88)
20161101_1813,81,-4615,-3575,-1040,ln3g1nl/5ks2/p2G1pppp/4p+b3/9/P2n4P/4PPPP1/1+r2G1SK1/5G1NL b 2PS4plsbr 81,ln3g1nl/5ks2/p2G1pppp/4p+b3/9/P2n4P/4PPPP1/1+r2G1SK1/5G1NL b 2PS4plsbr 81,S*6g,**候補手  候補1 時間 00:00.9 深さ 11/19 ノード数 1005592 評価値 -3575 読み筋 ▲５九金(58) △６一香打 ▲７二金(63) △７九飛打 ▲６一金(72) △５八銀打 ▲６九歩打 △４九銀成(58) ▲同　金(59) △６九飛成(79) ▲５一銀打 △３一玉(42) ▲４二銀打 △同　金(41) ▲同　銀成(51) △同　玉(31)
20161101_1813,85,-4567,-4173,-394,ln3g1nl/5ks2/p2G1pppp/4p+b3/9/P2p4P/4PPPP1/1+r2S1SK1/5G1NL b 2PN3plsgbr 85,ln3g1nl/5ks2/p2G1pppp/4p+b3/9/P2p4P/4PPPP1/1+r2S1SK1/5G1NL b 2PN3plsgbr 85,P*6h,**候補手  候補1 時間 00:00.9 深さ 11/20 ノード数 1001883 評価値 -4173 読み筋 ▲５三桂打 △同　馬(44) ▲同　金(63) △同　玉(42) ▲６五歩打 △８六角打 ▲８二歩打 △７三桂(81) ▲８一歩成(82) △７九飛打 ▲９一と(81) △４二玉(53) ▲６三角打 △６七歩成(66) ▲４一角成(63) △同　銀(32)
20161101_1813,87,-4510,-4115,-395,ln3g1nl/5ks2/p2G1pppp/4p+b3/9/P2p4P/4PPPP1/1+r1PS1SK1/2s2G1NL b PN3plgbr 87,ln3g1nl/5ks2/p2G1pppp/4p+b3/9/P2p4P/4PPPP1/1+r1PS1SK1/2s2G1NL b PN3plgbr 87,4i5i,**候補手  候補1 時間 00:00.9 深さ 11/21 ノード数 1013346 評価値 -4115 読み筋 ▲６九銀(58) △３一玉(42) ▲５六桂打 △３四馬(44) ▲６四桂(56) △４二金打 ▲７二桂成(64) △６八銀成(79) ▲同　銀(69) △同　龍(88) ▲５三銀打 △同　金(42) ▲同　金(63)
20161101_1813,91,-4817,-4314,-503,ln3g1nl/5ks2/p2G1pppp/4p4/6+b2/P1ppN3P/4PPPP1/1+r1PS1SK1/2s1G2NL b P2plgbr 91,ln3g1nl/5ks2/p2G1pppp/4p4/6+b2/P1ppN3P/4PPPP1/1+r1PS1SK1/2s1G2NL b P2plgbr 91,1f1e,**候補手  候補1 時間 00:00.9 深さ 11/18 ノード数 1019193 評価値 -4314 読み筋 ▲３六歩(37) △７一馬(35) ▲６四桂(56) △８三龍(88) ▲７二桂成(64) △同　龍(83) ▲同　金(63) △同　馬(71) ▲４六歩(47) △５二金打 ▲４九銀(58) △７七歩成(76) ▲６九金(59) △８八銀成(79)
20161101_1813,97,-5650,-4676,-974,ln2lg1nl/5ks2/p2G1pppp/3Np4/8P/P2p2+b2/2+p1PP1P1/1+r1PS1SK1/2s1G2NL b P3pgbr 97,ln2lg1nl/5ks2/p2G1pppp/3Np4/8P/P2p2+b2/2+p1PP1P1/1+r1PS1SK1/2s1G2NL b P3pgbr 97,5g5f,**候補手  候補1 時間 00:00.9 深さ 10/18 ノード数 1009516 評価値 -4676 読み筋 ▲３七銀(38) △２五馬(36) ▲２六銀(37) △３四馬(25) ▲３五歩打 △４四馬(34) ▲１四歩(15) △６八と(77) ▲１三歩成(14) △５九と(68)
20161101_1813,99,-6546,-5665,-881,ln2lg1nl/5ks2/p2G1pppp/3Np4/8P/P2pP1+b2/5P1P1/1+r1+pS1SK1/2s1G2NL b P4pgbr 99,ln2lg1nl/5ks2/p2G1pppp/3Np4/8P/P2pP1+b2/5P1P1/1+r1+pS1SK1/2s1G2NL b P4pgbr 99,5f5e,**候補手  候補1 時間 00:00.9 深さ 11/21 ノード数 1009537 評価値 -5665 読み筋 ▲同　金(59) △同　銀成(79) ▲４九銀(58) △３一玉(42) ▲１四歩(15) △同　歩(13) ▲１二歩打 △同　香(11) ▲６二金(63) △５九成銀(68) ▲５一金(62) △同　金(41)
20161102_0824,103,-1152,1001,-2153,1n7/lkg2R3/ppp1p3p/4P1p2/9/2P3s2/PP6P/L+B7/KN5+rL b 2PGB5pl2n3s2g 103,1n7/lkg2R3/ppp1p3p/4P1p2/9/2P3s2/PP6P/L+B7/KN5+rL b 2PGB5pl2n3s2g 103,B*9a,**候補手  候補1 時間 00:00.7 深さ 13/25 ノード数 1004101 評価値 1001 読み筋 ▲６二金打 △７一金打 ▲同　金(62) △同　玉(82) ▲５三歩成(54) △６一金打 ▲６三歩打 △８二玉(71) ▲６二歩成(63) △５二歩打 ▲７二と(62) △同　金(61) ▲６二金打 △６一金打 ▲６三金打 △６二金(61) ▲同　と(53) △同　金(72) ▲同　金(63) △９一玉(82) ▲８二金打 △同　玉(91) ▲７二金打
20161102_0824,39,-2151,688,-2839,kng4nl/lsg2r1b1/ppppp3p/6pR1/5ps2/2PPP4/PPB1SPP1P/LS1G5/KNG4NL b Pp 39,kng4nl/lsg2r1b1/ppppp3p/6pR1/5ps2/2PPP4/PPB1SPP1P/LS1G5/KNG4NL b Pp 39,6f6e,**候補手  候補1 時間 00:00.7 深さ 15/31 ノード数 1003276 評価値 688 読み筋 ▲２三飛成(24) △３三角(22) ▲３四龍(23) △４六歩(45) ▲同　歩(47) △同　銀(35) ▲４三歩打 △５七銀(46) ▲４二歩成(43) △６六銀成(57) ▲同　角(77) △同　角(33) ▲７七銀打 △３九角成(66) ▲３一龍(34) △２九馬(39) ▲２六飛打 △１九馬(29) ▲２一飛成(26) △１八馬(19) ▲６二歩打
